file_date,tx_date,full_name,order_type,ticker,tx_estimate,one_month_before,prior_1m_return,prior_1m_volatility,log_tx_estimate,alpha_generated
2014-01-31,2014-01-24,Susan M Collins,0,GE,1001,2013-12-25,-0.10348575819583672,0.011196408721740818,6.90975328164481,True
2014-01-31,2014-01-29,Susan M Collins,1,MSFT,1001,2013-12-30,-0.01689487813299828,0.015620644270087282,6.90975328164481,True
2014-01-31,2014-01-29,Susan M Collins,0,C,1001,2013-12-30,-0.07395981779309813,0.017597937823849295,6.90975328164481,True
2014-01-31,2014-01-24,Susan M Collins,1,CRM,1001,2013-12-25,0.06472202364209312,0.018063012725628488,6.90975328164481,True
2014-01-31,2014-01-28,Susan M Collins,0,EBAY,1001,2013-12-29,-0.01573783563785025,0.014564108353546911,6.90975328164481,False
2014-01-31,2014-01-29,Susan M Collins,0,C,1001,2013-12-30,-0.07395981779309813,0.017597937823849295,6.90975328164481,True
2014-01-31,2014-01-24,Susan M Collins,1,FB,1001,2013-12-25,0.0,0.0,6.90975328164481,False
2014-02-05,2014-01-30,Susan M Collins,0,REGN,1001,2013-12-31,0.06441650941788546,0.03503867847596338,6.90975328164481,False
2014-02-05,2014-01-30,Susan M Collins,0,CELG,1001,2013-12-31,0.0,0.0,6.90975328164481,False
2014-02-05,2014-01-30,Susan M Collins,1,CVS,1001,2013-12-31,-0.05093194271935564,0.009595898883034686,6.90975328164481,True
2014-02-05,2014-01-30,Susan M Collins,1,MSFT,1001,2013-12-31,-0.014702283271590733,0.015658418265092334,6.90975328164481,True
2014-02-05,2014-01-30,Susan M Collins,1,HON,1001,2013-12-31,0.0036116728311685886,0.010062042670605483,6.90975328164481,False
2014-02-05,2014-01-30,Susan M Collins,0,GM,1001,2013-12-31,-0.09860539126829793,0.015039247347770998,6.90975328164481,True
2014-02-11,2014-02-06,Susan M Collins,1,CMCSA,1001,2014-01-07,0.02271412197338174,0.01432746058192602,6.90975328164481,False
